regime,method,obstacle_prob,grid_size,max_offset,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
nominal,bgr,0.22,11,6,14,0.9501190463092917,0.43460943508933525,0.34058639897050746,0.3515806008913017,0.43460943508933525
high_obstacle,uniform,0.3,11,7,0,0.8985314002666503,0.3962613133274693,0.3318657283745897,0.313754831505488,0.3962613133274693
high_obstacle,uniform,0.3,11,7,1,0.8943486300895169,0.3963035703603123,0.3290236282006609,0.3111748620123079,0.3963035703603123
high_obstacle,uniform,0.3,11,7,2,0.8969040584433651,0.3964311825109981,0.33186749943550486,0.3134136023516719,0.3964311825109981
high_obstacle,uniform,0.3,11,7,3,0.8932124245932936,0.39824994032305655,0.3319228505542794,0.316312690403905,0.39824994032305655
high_obstacle,uniform,0.3,11,7,4,0.9012599211046541,0.4017424107657243,0.336394102867034,0.31809358560834133,0.4017424107657243
high_obstacle,uniform,0.3,11,7,5,0.891080581121977,0.3972913159373838,0.33246366943073213,0.3146616940585073,0.3972913159373838
high_obstacle,uniform,0.3,11,7,6,0.8956759601134867,0.39786065066032383,0.3345098244048248,0.3144356149852926,0.39786065066032383
high_obstacle,uniform,0.3,11,7,7,0.8936512343253449,0.39292543886036874,0.32684186009279786,0.3098456672699131,0.39292543886036874
high_obstacle,uniform,0.3,11,7,8,0.8937725797869281,0.39440366353038897,0.3304680318205042,0.30986068677985545,0.39440366353038897
high_obstacle,uniform,0.3,11,7,9,0.8942516581033358,0.39561226553788076,0.3335947208237187,0.31277625818282706,0.39561226553788076
high_obstacle,uniform,0.3,11,7,10,0.891524534656683,0.3951210758779474,0.33160188784750816,0.31091463490724874,0.3951210758779474
high_obstacle,uniform,0.3,11,7,11,0.8917662254405071,0.39572000020420217,0.33540580588359475,0.31408234302373844,0.39572000020420217
high_obstacle,uniform,0.3,11,7,12,0.8918919437989375,0.3963267728223179,0.33225321476544256,0.31350303346088065,0.3963267728223179
high_obstacle,uniform,0.3,11,7,13,0.8919584762586259,0.39322248508092333,0.3271724269856314,0.31125761911169536,0.39322248508092333
high_obstacle,uniform,0.3,11,7,14,0.8944519736034592,0.39338226742106025,0.3313005954073739,0.30981038779361697,0.39338226742106025
high_obstacle,bgr,0.3,11,7,0,0.9494793533744196,0.43442470699289665,0.3439194743926425,0.35328955377590665,0.43442470699289665
high_obstacle,bgr,0.3,11,7,1,0.9440862816136847,0.43402051807555914,0.3430398693556749,0.3508376092691308,0.43402051807555914
high_obstacle,bgr,0.3,11,7,2,0.9488148878516733,0.434110116573438,0.3425214464139606,0.35273847944777764,0.434110116573438
high_obstacle,bgr,0.3,11,7,3,0.942366261075776,0.4380224899393705,0.34721361112510896,0.3574658445699983,0.4380224899393705
high_obstacle,bgr,0.3,11,7,4,0.9496098785652344,0.43588236097594213,0.3495120983115388,0.35488665665118885,0.43588236097594213
high_obstacle,bgr,0.3,11,7,5,0.9443100091155909,0.43310033864684955,0.33990367148735656,0.3512044558348444,0.43310033864684955
high_obstacle,bgr,0.3,11,7,6,0.9454797329008665,0.43874457236430076,0.34895331475136915,0.3565574312914665,0.43874457236430076
high_obstacle,bgr,0.3,11,7,7,0.9474152472328511,0.43545551130633037,0.3429433022442953,0.35187226425461576,0.43545551130633037
high_obstacle,bgr,0.3,11,7,8,0.944296079737893,0.4341555549970999,0.3475967205647633,0.35161567153341616,0.4341555549970999
high_obstacle,bgr,0.3,11,7,9,0.9451253278837426,0.4319499570234613,0.34124727026430524,0.35048003860116833,0.4319499570234613
high_obstacle,bgr,0.3,11,7,10,0.9422784158209355,0.4288963895518968,0.34489728595008906,0.34814646318036147,0.4288963895518968
high_obstacle,bgr,0.3,11,7,11,0.9422609322611497,0.43561945793720835,0.3477800646056036,0.35262343238855304,0.43561945793720835
high_obstacle,bgr,0.3,11,7,12,0.9434157529371542,0.4342196569863044,0.3446363718570948,0.35269109659779824,0.4342196569863044
high_obstacle,bgr,0.3,11,7,13,0.9471955924512069,0.4331342429161921,0.34179787551665725,0.35080952240672,0.4331342429161921
high_obstacle,bgr,0.3,11,7,14,0.9506391269892788,0.43380619621180466,0.3420438951774921,0.3505112257415089,0.43380619621180466
