seed,radius,trial,success,progress,start_x,end_x
2,0.25,1,0,0.0140061397457861,-0.25244224223296957,-0.23843610248718347
2,0.25,2,0,0.012609401141737225,-0.25244224223296957,-0.23983284109123235
2,0.25,3,0,0.01415194552653723,-0.25244224223296957,-0.23829029670643234
2,0.25,4,0,0.013334799342253761,-0.25244224223296957,-0.2391074428907158
2,0.25,5,0,0.01174144953291914,-0.25244224223296957,-0.24070079270005043
2,0.25,6,0,0.014191484080631256,-0.25244224223296957,-0.23825075815233832
2,0.25,7,0,0.013453255684136467,-0.25244224223296957,-0.2389889865488331
2,0.25,8,0,0.014571061873990154,-0.25244224223296957,-0.23787118035897942
2,0.25,9,0,0.011569125318828422,-0.25244224223296957,-0.24087311691414115
2,0.5,0,0,0.01988830925096774,-0.25244224223296957,-0.23255393298200183
2,0.5,1,0,0.015264182149776484,-0.25244224223296957,-0.2371780600831931
2,0.5,2,0,0.01249224186967704,-0.25244224223296957,-0.23995000036329253
2,0.5,3,0,0.015621142189897769,-0.25244224223296957,-0.2368211000430718
2,0.5,4,0,0.013969409111185854,-0.25244224223296957,-0.23847283312178372
2,0.5,5,0,0.010774236784620472,-0.25244224223296957,-0.2416680054483491
2,0.5,6,0,0.01564288708588013,-0.25244224223296957,-0.23679935514708944
2,0.5,7,0,0.01415913284482595,-0.25244224223296957,-0.23828310938814362
2,0.5,8,0,0.01640286502029842,-0.25244224223296957,-0.23603937721267115
2,0.5,9,0,0.010403932318898357,-0.25244224223296957,-0.24203830991407121
2,0.75,0,0,0.023461318708855178,-0.25244224223296957,-0.2289809235241144
2,0.75,1,0,0.016505713746591683,-0.25244224223296957,-0.2359365284863779
2,0.75,2,0,0.012372933550822557,-0.25244224223296957,-0.24006930868214701
2,0.75,3,0,0.0171386288351425,-0.25244224223296957,-0.23530361339782707
2,0.75,4,0,0.014621475161222919,-0.25244224223296957,-0.23782076707174665
2,0.75,5,0,0.009817325287557799,-0.25244224223296957,-0.24262491694541177
2,0.75,6,0,0.017081275283470365,-0.25244224223296957,-0.2353609669494992
2,0.75,7,0,0.014845078810055257,-0.25244224223296957,-0.23759716342291431
2,0.75,8,0,0.018220216742797002,-0.25244224223296957,-0.23422202549017257
2,0.75,9,0,0.009231610488536046,-0.25244224223296957,-0.24321063174443353
2,1.0,0,0,0.027064940240207613,-0.25244224223296957,-0.22537730199276196
2,1.0,1,0,0.017740168139989132,-0.25244224223296957,-0.23470207409298044
2,1.0,2,0,0.012251088641010072,-0.25244224223296957,-0.2401911535919595
2,1.0,3,0,0.01871080227112537,-0.25244224223296957,-0.2337314399618442
2,1.0,4,0,0.015269225824915189,-0.25244224223296957,-0.23717301640805438
2,1.0,5,0,0.008857287872141767,-0.25244224223296957,-0.2435849543608278
2,1.0,6,0,0.018508690343734535,-0.25244224223296957,-0.23393355188923504
2,1.0,7,0,0.015513423727222447,-0.25244224223296957,-0.23692881850574712
2,1.0,8,0,0.020022407681493354,-0.25244224223296957,-0.23241983455147622
2,1.0,9,0,0.00805312042146894,-0.25244224223296957,-0.24438912181150063
2,1.25,0,0,0.030719235190048017,-0.25244224223296957,-0.22172300704292155
2,1.25,1,0,0.018981413791527818,-0.25244224223296957,-0.23346082844144175
2,1.25,2,0,0.012126302480566231,-0.25244224223296957,-0.24031593975240334
2,1.25,3,0,0.020317364264182597,-0.25244224223296957,-0.23212487796878697
2,1.25,4,0,0.01591219353353368,-0.25244224223296957,-0.2365300486994359
2,1.25,5,0,0.007880116055483444,-0.25244224223296957,-0.24456212617748613
2,1.25,6,0,0.019927248904428208,-0.25244224223296957,-0.23251499332854136
2,1.25,7,0,0.016167944981058863,-0.25244224223296957,-0.2362742972519107
2,1.25,8,0,0.02180705467909516,-0.25244224223296957,-0.2306351875538744
2,1.25,9,0,0.006860961563037615,-0.25244224223296957,-0.24558128066993196
2,1.5,0,0,0.03437853192120566,-0.25244224223296957,-0.21806371031176391
2,1.5,1,0,0.020231769389066234,-0.25244224223296957,-0.23221047284390334
2,1.5,2,0,0.011998353222972574,-0.25244224223296957,-0.240443889009997
2,1.5,3,0,0.021915994451798593,-0.25244224223296957,-0.23052624778117098
2,1.5,4,0,0.016552762716629782,-0.25244224223296957,-0.2358894795163398
2,1.5,5,0,0.006879202922123018,-0.25244224223296957,-0.24556303931084655
2,1.5,6,0,0.021338990953697762,-0.25244224223296957,-0.2311032512792718
2,1.5,7,0,0.01681109331685765,-0.25244224223296957,-0.23563114891611192
2,1.5,8,0,0.023664085057510498,-0.25244224223296957,-0.22877815717545907
2,1.5,9,0,0.005647613926096584,-0.25244224223296957,-0.246794628306873
2,2.0,0,0,0.04156466984466686,-0.25244224223296957,-0.2108775723883027
2,2.0,1,0,0.022580678027103285,-0.25244224223296957,-0.2298615642058663
2,2.0,2,0,0.011734175740772651,-0.25244224223296957,-0.24070806649219692
2,2.0,3,0,0.025080392786767575,-0.25244224223296957,-0.227361849446202
2,2.0,4,0,0.017837531868226203,-0.25244224223296957,-0.23460471036474337
2,2.0,5,0,0.004780022260905098,-0.25244224223296957,-0.24766221997206447
2,2.0,6,0,0.02414809896502987,-0.25244224223296957,-0.2282941432679397
2,2.0,7,0,0.018070518193360197,-0.25244224223296957,-0.23437172403960937
2,2.0,8,0,0.031439808001423486,-0.25244224223296957,-0.22100243423154609
2,2.0,9,0,0.0031581877997580166,-0.25244224223296957,-0.24928405443321155
3,0.0,0,1,0.16671486735094718,-0.31380314086128686,-0.14708827351033968
3,0.0,1,1,0.16671486735094718,-0.31380314086128686,-0.14708827351033968
3,0.0,2,1,0.16671486735094718,-0.31380314086128686,-0.14708827351033968
3,0.0,3,1,0.16671486735094718,-0.31380314086128686,-0.14708827351033968
3,0.0,4,1,0.16671486735094718,-0.31380314086128686,-0.14708827351033968
3,0.0,5,1,0.16671486735094718,-0.31380314086128686,-0.14708827351033968
3,0.0,6,1,0.16671486735094718,-0.31380314086128686,-0.14708827351033968
3,0.0,7,0,0.13412668215162293,-0.31380314086128686,-0.17967645870966392
3,0.0,8,0,0.022492440191369978,-0.31380314086128686,-0.2913107006699169
3,0.0,9,0,0.022492440191369978,-0.31380314086128686,-0.2913107006699169
3,0.25,0,0,0.02264022089226947,-0.31380314086128686,-0.2911629199690174
3,0.25,1,0,0.022629247737383285,-0.31380314086128686,-0.29117389312390357
3,0.25,2,0,0.02466428186393743,-0.31380314086128686,-0.2891388589973494
3,0.25,3,0,0.021193943062552567,-0.31380314086128686,-0.2926091977987343
3,0.25,4,0,0.024933883185914774,-0.31380314086128686,-0.2888692576753721
3,0.25,5,0,0.023300566208970253,-0.31380314086128686,-0.2905025746523166
3,0.25,6,0,0.024009856572475785,-0.31380314086128686,-0.28979328428881107
3,0.25,7,0,0.024678123212998226,-0.31380314086128686,-0.28912501764828863
3,0.25,8,0,0.021664958703835446,-0.31380314086128686,-0.2921381821574514
3,0.25,9,0,0.022637286636201515,-0.31380314086128686,-0.29116585422508534
3,0.5,0,0,0.022804914347206495,-0.31380314086128686,-0.29099822651408036
3,0.5,1,0,0.022766405329228134,-0.31380314086128686,-0.2910367355320587
3,0.5,2,0,0.026842851684363678,-0.31380314086128686,-0.2869602891769232
3,0.5,3,0,0.019950195699056483,-0.31380314086128686,-0.2938529451622304
3,0.5,4,0,0.02741871976257504,-0.31380314086128686,-0.2863844210987118
3,0.5,5,0,0.024112753050727798,-0.31380314086128686,-0.28969038781055906
3,0.5,6,0,0.025533814936746557,-0.31380314086128686,-0.2882693259245403
3,0.5,7,0,0.026832592087600027,-0.31380314086128686,-0.28697054877368683
3,0.5,8,0,0.020833468977512648,-0.31380314086128686,-0.2929696718837742
3,0.5,9,0,0.022761974714725186,-0.31380314086128686,-0.29104116614656167
3,0.75,0,0,0.022991421804468004,-0.31380314086128686,-0.29081171905681885
3,0.75,1,0,0.02290397683953793,-0.31380314086128686,-0.2908991640217489
3,0.75,2,0,0.02902681512148314,-0.31380314086128686,-0.2847763257398037
3,0.75,3,0,0.01876289345483867,-0.31380314086128686,-0.2950402474064482
3,0.75,4,0,0.029960974498155657,-0.31380314086128686,-0.2838421663631312
3,0.75,5,0,0.024934006524364838,-0.31380314086128686,-0.288869134336922
3,0.75,6,0,0.027074021500832823,-0.31380314086128686,-0.28672911936045403
