seed,trial,sigma,success,crashed,steps,total_reward,checkpoint_x,checkpoint_y
5,2,0.0,1,0,109,239.89596150681118,-0.05327033996582031,0.5509212350845336
5,0,0.5,0,1,221,-223.53113899857493,-0.05327033996582031,0.5509212350845336
5,1,0.5,1,0,120,208.0863450438565,-0.05327033996582031,0.5509212350845336
5,2,0.5,1,0,119,242.82911242898464,-0.05327033996582031,0.5509212350845336
5,0,1.0,0,1,388,-221.9303033307618,-0.05327033996582031,0.5509212350845336
5,1,1.0,1,0,120,172.80893537879496,-0.05327033996582031,0.5509212350845336
5,2,1.0,1,0,162,246.41980956878115,-0.05327033996582031,0.5509212350845336
5,0,1.5,1,0,240,272.44168635846904,-0.05327033996582031,0.5509212350845336
5,1,1.5,1,0,144,162.19505898389605,-0.05327033996582031,0.5509212350845336
5,2,1.5,1,0,142,256.8764843364043,-0.05327033996582031,0.5509212350845336
5,0,2.0,0,1,50,-300.79955334563897,-0.05327033996582031,0.5509212350845336
5,1,2.0,1,0,180,192.44275724916392,-0.05327033996582031,0.5509212350845336
5,2,2.0,1,0,141,262.3773110008008,-0.05327033996582031,0.5509212350845336
5,0,2.5,0,1,40,-21.428499095257564,-0.05327033996582031,0.5509212350845336
5,1,2.5,1,0,212,217.04822123127445,-0.05327033996582031,0.5509212350845336
5,2,2.5,1,0,234,254.26936362250356,-0.05327033996582031,0.5509212350845336
5,0,3.0,0,1,44,-125.60667757753853,-0.05327033996582031,0.5509212350845336
5,1,3.0,1,0,230,238.6667747583363,-0.05327033996582031,0.5509212350845336
5,2,3.0,1,0,331,257.43245073892297,-0.05327033996582031,0.5509212350845336
6,0,0.0,1,0,190,254.369949384819,-0.5255024433135986,0.6448628520965576
6,1,0.0,1,0,190,254.369949384819,-0.5255024433135986,0.6448628520965576
6,2,0.0,1,0,190,254.369949384819,-0.5255024433135986,0.6448628520965576
6,0,0.5,1,0,165,262.655976046437,-0.5255024433135986,0.6448628520965576
6,1,0.5,1,0,161,284.5466168699352,-0.5255024433135986,0.6448628520965576
6,2,0.5,1,0,169,245.6208104657642,-0.5255024433135986,0.6448628520965576
6,0,1.0,1,0,147,272.34323459412826,-0.5255024433135986,0.6448628520965576
6,1,1.0,0,1,193,-112.78876059323991,-0.5255024433135986,0.6448628520965576
6,2,1.0,1,0,141,246.63529685805,-0.5255024433135986,0.6448628520965576
6,0,1.5,1,0,158,286.7496873606246,-0.5255024433135986,0.6448628520965576
6,1,1.5,0,1,94,-157.22780864510352,-0.5255024433135986,0.6448628520965576
6,2,1.5,0,1,28,15.981565406391496,-0.5255024433135986,0.6448628520965576
6,0,2.0,1,0,245,298.0616399100786,-0.5255024433135986,0.6448628520965576
6,1,2.0,0,1,64,-197.399568865652,-0.5255024433135986,0.6448628520965576
6,2,2.0,0,1,18,-23.717251805307356,-0.5255024433135986,0.6448628520965576
6,0,2.5,1,0,320,297.12787211947665,-0.5255024433135986,0.6448628520965576
6,1,2.5,0,1,51,-254.3638190553115,-0.5255024433135986,0.6448628520965576
6,2,2.5,0,1,12,-81.37458885138855,-0.5255024433135986,0.6448628520965576
6,0,3.0,0,1,97,-24.200681844871568,-0.5255024433135986,0.6448628520965576
6,1,3.0,0,1,43,-295.9240403329914,-0.5255024433135986,0.6448628520965576
6,2,3.0,0,1,9,-77.63575398512587,-0.5255024433135986,0.6448628520965576
7,0,0.0,1,0,107,188.9853668923129,-0.12087535858154297,0.27251573562622067
7,1,0.0,1,0,107,188.9853668923129,-0.12087535858154297,0.27251573562622067
7,2,0.0,1,0,107,188.9853668923129,-0.12087535858154297,0.27251573562622067
7,0,0.5,1,0,128,207.98818419869946,-0.12087535858154297,0.27251573562622067
7,1,0.5,1,0,95,155.33862815720565,-0.12087535858154297,0.27251573562622067
7,2,0.5,1,0,201,161.05812168665832,-0.12087535858154297,0.27251573562622067
7,0,1.0,1,0,171,214.65981725642618,-0.12087535858154297,0.27251573562622067
7,1,1.0,1,0,155,128.2877354620112,-0.12087535858154297,0.27251573562622067
7,2,1.0,1,0,221,157.43163004384914,-0.12087535858154297,0.27251573562622067
7,0,1.5,1,0,353,237.19094579978827,-0.12087535858154297,0.27251573562622067
7,1,1.5,1,0,181,151.8109878069698,-0.12087535858154297,0.27251573562622067
7,2,1.5,1,0,268,169.45653961143495,-0.12087535858154297,0.27251573562622067
7,0,2.0,1,0,219,257.28937455530513,-0.12087535858154297,0.27251573562622067
7,1,2.0,1,0,256,189.6664454111492,-0.12087535858154297,0.27251573562622067
7,2,2.0,1,0,333,175.53583416499862,-0.12087535858154297,0.27251573562622067
7,0,2.5,1,0,172,310.0698015046522,-0.12087535858154297,0.27251573562622067
7,1,2.5,1,0,384,229.37062485496864,-0.12087535858154297,0.27251573562622067
7,2,2.5,1,0,383,212.83249898674384,-0.12087535858154297,0.27251573562622067
7,0,3.0,0,0,500,179.93465451490556,-0.12087535858154297,0.27251573562622067
7,1,3.0,1,0,297,263.30754111051607,-0.12087535858154297,0.27251573562622067
7,2,3.0,1,0,380,234.37325479242463,-0.12087535858154297,0.27251573562622067
8,0,0.0,1,0,119,184.30836307775994,-0.176177978515625,0.2492287969589233
8,1,0.0,1,0,119,184.30836307775994,-0.176177978515625,0.2492287969589233
8,2,0.0,1,0,119,184.30836307775994,-0.176177978515625,0.2492287969589233
8,0,0.5,0,1,204,-211.69265810309625,-0.176177978515625,0.2492287969589233
