seed,trial,sigma,success,crashed,steps,total_reward,checkpoint_x,checkpoint_y
4,0,0.0,1,0,110,183.5473287759607,-0.034525394439697266,0.3391727781295776
4,1,0.0,1,0,110,183.5473287759607,-0.034525394439697266,0.3391727781295776
4,2,0.0,1,0,110,183.5473287759607,-0.034525394439697266,0.3391727781295776
4,0,0.2,1,0,122,180.1907722739168,-0.034525394439697266,0.3391727781295776
4,1,0.2,1,0,111,181.27637507812005,-0.034525394439697266,0.3391727781295776
4,2,0.2,1,0,107,184.97457626357794,-0.034525394439697266,0.3391727781295776
4,0,0.4,1,0,134,163.4797938001002,-0.034525394439697266,0.3391727781295776
4,1,0.4,1,0,115,179.37308025777762,-0.034525394439697266,0.3391727781295776
4,2,0.4,1,0,114,183.7073659023829,-0.034525394439697266,0.3391727781295776
4,0,0.6,0,0,260,68.29861318611742,-0.034525394439697266,0.3391727781295776
4,1,0.6,1,0,132,177.75450917852822,-0.034525394439697266,0.3391727781295776
4,2,0.6,1,0,156,173.37589549970883,-0.034525394439697266,0.3391727781295776
4,0,0.8,1,0,231,177.75751921730318,-0.034525394439697266,0.3391727781295776
4,1,0.8,1,0,148,185.8216050310052,-0.034525394439697266,0.3391727781295776
4,2,0.8,1,0,182,178.01234366938772,-0.034525394439697266,0.3391727781295776
4,0,1.0,1,0,241,182.45864638954737,-0.034525394439697266,0.3391727781295776
4,1,1.0,1,0,155,188.92572553490317,-0.034525394439697266,0.3391727781295776
4,2,1.0,1,0,237,182.5110684520057,-0.034525394439697266,0.3391727781295776
5,0,0.0,1,0,136,190.7459075326049,-0.061710262298583986,0.4195140218734741
5,1,0.0,1,0,136,190.7459075326049,-0.061710262298583986,0.4195140218734741
5,2,0.0,1,0,136,190.7459075326049,-0.061710262298583986,0.4195140218734741
5,0,0.2,1,0,106,206.26689142489778,-0.061710262298583986,0.4195140218734741
5,1,0.2,1,0,129,181.39874360647116,-0.061710262298583986,0.4195140218734741
5,2,0.2,1,0,124,197.89958908556468,-0.061710262298583986,0.4195140218734741
5,0,0.4,1,0,92,197.93278296526015,-0.061710262298583986,0.4195140218734741
5,1,0.4,1,0,125,171.87280262191254,-0.061710262298583986,0.4195140218734741
5,2,0.4,1,0,127,203.79472066450148,-0.061710262298583986,0.4195140218734741
5,0,0.6,0,1,158,-235.3604295857239,-0.061710262298583986,0.4195140218734741
5,1,0.6,1,0,140,157.9628534735271,-0.061710262298583986,0.4195140218734741
5,2,0.6,1,0,116,207.4367352917937,-0.061710262298583986,0.4195140218734741
5,0,0.8,0,1,30,-37.36549145204354,-0.061710262298583986,0.4195140218734741
5,1,0.8,1,0,142,143.06342566804673,-0.061710262298583986,0.4195140218734741
5,2,0.8,1,0,130,211.65632152157423,-0.061710262298583986,0.4195140218734741
5,0,1.0,0,1,26,-76.21180922020223,-0.061710262298583986,0.4195140218734741
5,1,1.0,1,0,161,143.99974807369404,-0.061710262298583986,0.4195140218734741
5,2,1.0,1,0,128,213.4874824555754,-0.061710262298583986,0.4195140218734741
6,0,0.0,1,0,161,259.2547066543382,-0.5143787860870361,0.53474308013916
6,1,0.0,1,0,161,259.2547066543382,-0.5143787860870361,0.53474308013916
6,2,0.0,1,0,161,259.2547066543382,-0.5143787860870361,0.53474308013916
6,0,0.2,1,0,159,257.8172072925681,-0.5143787860870361,0.53474308013916
6,1,0.2,1,0,167,249.57924107855214,-0.5143787860870361,0.53474308013916
6,2,0.2,1,0,155,261.07948952527613,-0.5143787860870361,0.53474308013916
6,0,0.4,1,0,158,259.9796346330923,-0.5143787860870361,0.53474308013916
6,1,0.4,0,0,260,-23.61042907968437,-0.5143787860870361,0.53474308013916
6,2,0.4,1,0,164,254.21547104712005,-0.5143787860870361,0.53474308013916
6,0,0.6,1,0,146,268.7110784399265,-0.5143787860870361,0.53474308013916
6,1,0.6,0,1,94,-44.66577076589243,-0.5143787860870361,0.53474308013916
6,2,0.6,1,0,158,255.81089621961283,-0.5143787860870361,0.53474308013916
6,0,0.8,1,0,151,274.021858595818,-0.5143787860870361,0.53474308013916
6,1,0.8,0,1,84,-47.71688650214405,-0.5143787860870361,0.53474308013916
6,2,0.8,1,0,137,255.91391287314994,-0.5143787860870361,0.53474308013916
6,0,1.0,1,0,151,272.35714475176644,-0.5143787860870361,0.53474308013916
6,1,1.0,0,1,45,-19.0895438309353,-0.5143787860870361,0.53474308013916
6,2,1.0,1,0,99,241.31984897743294,-0.5143787860870361,0.53474308013916
7,0,0.0,1,0,209,166.19922027877834,-0.06138935089111328,0.11841152667999263
7,1,0.0,1,0,209,166.19922027877834,-0.06138935089111328,0.11841152667999263
7,2,0.0,1,0,209,166.19922027877834,-0.06138935089111328,0.11841152667999263
7,0,0.2,1,0,220,177.31357490780343,-0.06138935089111328,0.11841152667999263
7,1,0.2,1,0,107,155.26090766360983,-0.06138935089111328,0.11841152667999263
7,2,0.2,1,0,87,157.96496139938947,-0.06138935089111328,0.11841152667999263
7,0,0.4,1,0,248,197.07142818608145,-0.06138935089111328,0.11841152667999263
7,1,0.4,1,0,89,135.2485128752248,-0.06138935089111328,0.11841152667999263
7,2,0.4,1,0,90,150.22411229204695,-0.06138935089111328,0.11841152667999263
7,0,0.6,0,0,260,86.05711020724964,-0.06138935089111328,0.11841152667999263
7,1,0.6,1,0,177,141.82671801130752,-0.06138935089111328,0.11841152667999263
7,2,0.6,1,0,60,154.47972299448162,-0.06138935089111328,0.11841152667999263
7,0,0.8,1,0,106,218.34920198328825,-0.06138935089111328,0.11841152667999263
7,1,0.8,1,0,258,136.27123455575287,-0.06138935089111328,0.11841152667999263
7,2,0.8,1,0,94,140.8040181518458,-0.06138935089111328,0.11841152667999263
7,0,1.0,1,0,136,209.05568547535023,-0.06138935089111328,0.11841152667999263
