scenario,seed,attempted_samples,accepted_samples,accepted_fraction,true_valid_accept_rate,invalid_accept_rate,boundary_hit_accept_rate,true_boundary_recall,mean_abs_boundary_error,clean,rauc,median_r80
symmetric_10,14,8640,7873,0.9112268518518518,1.0,0.0,0.6905880858630763,0.9119423012411942,0.06581900664586118,0.8170142872275759,0.21410892988657132,0.13041611111696694
symmetric_10,15,8640,7791,0.9017361111111111,0.9998716467719163,0.00012835322808368854,0.6797586959312026,0.9019073569482289,0.06667336255205165,0.8238754340207478,0.2197813847629386,0.13704386593139428
symmetric_10,16,8640,7793,0.9019675925925926,1.0,0.0,0.6849736943410754,0.9027566379164552,0.06599100651530093,0.8190798872797352,0.21336449976899405,0.129910138894156
symmetric_10,17,8640,7798,0.9025462962962963,1.0,0.0,0.6794049756347782,0.9002548853016142,0.06762066050760543,0.8160675966974161,0.21541872080470195,0.13754493177307092
symmetric_10,18,8640,7751,0.8971064814814815,1.0,0.0,0.6842988001548187,0.8947368421052632,0.06661482231725904,0.8195192385279537,0.2187812181209384,0.1444024263422641
symmetric_10,19,8640,7807,0.903587962962963,0.9998719098245165,0.00012809017548354173,0.6845138977840399,0.9031603853304039,0.06533904518621747,0.8169527371895078,0.2137991548351536,0.13737154017836703
symmetric_10,20,8640,7804,0.9032407407407408,1.0,0.0,0.6829830855971297,0.9017086787345627,0.06617265482782372,0.8183114000403162,0.21426813089384752,0.13468771254609535
symmetric_10,21,8640,7739,0.8957175925925925,0.9997415686781238,0.0002584313218761958,0.6769608476547357,0.8940273037542662,0.06798523794395724,0.8248680256103456,0.21805879172435955,0.13709444924079808
symmetric_10,22,8640,7763,0.8984953703703704,1.0,0.0,0.6768002061058869,0.8979661596308324,0.0665285343998822,0.8177272921887118,0.21357598100919317,0.1348768035120998
symmetric_10,23,8640,7755,0.8975694444444444,0.9998710509348807,0.00012894906511928816,0.6907801418439716,0.9004874768868717,0.06563176402099867,0.8199544035255238,0.21721459475859564,0.13779220990146052
symmetric_10,24,8640,7781,0.9005787037037037,0.9998714818146768,0.00012851818532322312,0.6797326821745276,0.8984202480040768,0.06679923861418317,0.8211111756662379,0.217192645957743,0.13651490682107087
symmetric_10,25,8640,7749,0.896875,1.0,0.0,0.6800877532584849,0.8942813507551333,0.06673733441504504,0.8204684322961331,0.21527572887524576,0.13486219833603005
symmetric_10,26,8640,7764,0.8986111111111111,1.0,0.0,0.6749098402885111,0.8995708154506438,0.06779650806746786,0.8192055442892527,0.21943681431117332,0.13705260212528497
symmetric_10,27,8640,7795,0.9021990740740741,1.0,0.0,0.6763309813983323,0.9025851737716144,0.06670072038278724,0.8214906288820897,0.21727449233917107,0.14044809396912528
symmetric_10,28,8640,7797,0.9024305555555555,1.0,0.0,0.6778248044119534,0.9017232554171644,0.067377212428732,0.8204720186309171,0.21611341661250016,0.1363700129490058
symmetric_10,29,8640,7779,0.9003472222222222,1.0,0.0,0.688648926597249,0.9036774628879892,0.06551492153895255,0.819180347287645,0.2144761571146144,0.13266611481842638
symmetric_20,0,8640,6876,0.7958333333333333,1.0,0.0,0.6865910413030832,0.7981403212172443,0.06661280960031299,0.8235085987812095,0.2168581466261583,0.13567799205731898
symmetric_20,1,8640,6909,0.7996527777777778,1.0,0.0,0.6876537849182226,0.7984873949579832,0.06561362353126343,0.8166062605043111,0.21138405815493633,0.1303386952916626
symmetric_20,2,8640,6918,0.8006944444444445,1.0,0.0,0.6741832899681989,0.7976740208654011,0.06750612926110651,0.8224524960448769,0.21531497892875595,0.1342491309212696
symmetric_20,3,8640,6925,0.8015046296296297,0.9998555956678701,0.00014440433212992154,0.6778339350180506,0.8011606076122205,0.06697408162411403,0.8251272322151327,0.22092261015031953,0.1393438698305997
symmetric_20,4,8640,6892,0.7976851851851852,0.9998549042367962,0.00014509576320376194,0.6815147997678468,0.797453310696095,0.06671025449697349,0.8312112581614072,0.21968505486570208,0.13723275229017307
symmetric_20,5,8640,6910,0.7997685185185185,1.0,0.0,0.6769898697539798,0.7969335604770017,0.06745499378965719,0.8169105601684311,0.217036095829194,0.1402921192522012
symmetric_20,6,8640,6911,0.7998842592592592,1.0,0.0,0.683692663869194,0.801119023397762,0.0674104741068567,0.8205535056456341,0.2177702847003113,0.14080089122699113
symmetric_20,7,8640,6878,0.7960648148148148,1.0,0.0,0.6876999127653388,0.7972357997640317,0.06565570591436949,0.8198879832128239,0.21326874365587253,0.12995056182418363
symmetric_20,8,8640,6830,0.7905092592592593,1.0,0.0,0.6837481698389458,0.7921967769296013,0.06587649040731322,0.817595282463813,0.21101659439609624,0.1303532716798291
symmetric_20,9,8640,6932,0.8023148148148148,0.9998557414887478,0.00014425851125221545,0.6827755337564916,0.7982796424354865,0.06751380688549663,0.8159363306386347,0.214767007248224,0.13564801148036426
symmetric_20,10,8640,6868,0.7949074074074074,1.0,0.0,0.6862259755387303,0.7942366026289182,0.06595215258425342,0.8177722215559847,0.21182768429486892,0.13433889704098118
symmetric_20,11,8640,6877,0.7959490740740741,0.9998545877562891,0.00014541224371089623,0.6834375454413262,0.7991838122768237,0.06663687811943683,0.8205736444199782,0.2164565096652703,0.13816417838396156
symmetric_20,12,8640,6838,0.7914351851851852,1.0,0.0,0.6803158818367944,0.7884745762711864,0.06617910752884547,0.8211051240711564,0.21608305771968744,0.13842362704092706
symmetric_20,13,8640,6939,0.803125,1.0,0.0,0.6813661910938176,0.8058633032214079,0.06606022922166693,0.8165203419233047,0.21577341385041832,0.14037985862415503
symmetric_20,14,8640,6921,0.8010416666666667,1.0,0.0,0.678225689929201,0.795593220338983,0.06683850164273696,0.8170142872275759,0.21410892988657132,0.13041611111696694
symmetric_20,15,8640,6935,0.8026620370370371,0.9998558038932949,0.00014419610670513006,0.6725306416726748,0.7959044368600683,0.06780117655504753,0.8238754340207478,0.2197813847629386,0.13704386593139428
symmetric_20,16,8640,6950,0.8043981481481481,0.9998561151079137,0.00014388489208627675,0.6817266187050359,0.8029147602101339,0.06626675482307799,0.8190798872797352,0.21336449976899405,0.129910138894156
symmetric_20,17,8640,6868,0.7949074074074074,0.9997087944088526,0.0002912055911473699,0.6806930693069307,0.7966939331970007,0.06643739875124278,0.8160675966974161,0.21541872080470195,0.13754493177307092
symmetric_20,18,8640,6880,0.7962962962962963,1.0,0.0,0.6800872093023256,0.7957482993197279,0.06669629449155763,0.8195192385279537,0.2187812181209384,0.1444024263422641
