method,seed,step,clean,rauc,median_r80
td_loss,11,80.0,0.0,0.07682291666666667,4.0
bgr_uniform_radius,0,0.0,1.0,0.8932291666666666,2.95
bgr_uniform_radius,0,20.0,0.0,0.13411458333333334,4.0
bgr_uniform_radius,0,40.0,0.75,0.5078125,1.2
bgr_uniform_radius,0,60.0,0.16666666666666666,0.2825520833333333,4.0
bgr_uniform_radius,0,80.0,0.3333333333333333,0.1640625,4.0
bgr_uniform_radius,1,0.0,1.0,0.8984375,2.7
bgr_uniform_radius,1,20.0,0.08333333333333333,0.22395833333333334,4.0
bgr_uniform_radius,1,40.0,0.16666666666666666,0.24348958333333334,4.0
bgr_uniform_radius,1,60.0,0.75,0.37109375,0.35
bgr_uniform_radius,1,80.0,0.5833333333333334,0.5377604166666666,1.2
bgr_uniform_radius,2,0.0,1.0,0.9270833333333334,3.85
bgr_uniform_radius,2,20.0,0.9166666666666666,0.625,0.9750000000000001
bgr_uniform_radius,2,40.0,0.0,0.16015625,4.0
bgr_uniform_radius,2,60.0,0.16666666666666666,0.3190104166666667,4.0
bgr_uniform_radius,2,80.0,0.0,0.1875,4.0
bgr_uniform_radius,3,0.0,1.0,0.9244791666666666,3.8
bgr_uniform_radius,3,20.0,0.25,0.15104166666666666,4.0
bgr_uniform_radius,3,40.0,0.4166666666666667,0.4231770833333333,4.0
bgr_uniform_radius,3,60.0,0.25,0.23307291666666666,4.0
bgr_uniform_radius,3,80.0,0.25,0.1953125,4.0
bgr_uniform_radius,4,0.0,1.0,0.8815104166666666,2.7
bgr_uniform_radius,4,20.0,0.0,0.15625,4.0
bgr_uniform_radius,4,40.0,0.75,0.4427083333333333,0.7
bgr_uniform_radius,4,60.0,0.5,0.5,2.6
bgr_uniform_radius,4,80.0,0.08333333333333333,0.13541666666666666,4.0
bgr_uniform_radius,5,0.0,1.0,0.9049479166666666,2.95
bgr_uniform_radius,5,20.0,0.16666666666666666,0.21614583333333334,4.0
bgr_uniform_radius,5,40.0,0.0,0.2721354166666667,4.0
bgr_uniform_radius,5,60.0,0.08333333333333333,0.1640625,4.0
bgr_uniform_radius,5,80.0,0.25,0.3216145833333333,4.0
bgr_uniform_radius,6,0.0,1.0,0.9114583333333334,2.7
bgr_uniform_radius,6,20.0,0.5,0.3697916666666667,2.4
bgr_uniform_radius,6,40.0,0.25,0.4674479166666667,4.0
bgr_uniform_radius,6,60.0,0.4166666666666667,0.2786458333333333,4.0
bgr_uniform_radius,6,80.0,0.0,0.13671875,4.0
bgr_uniform_radius,7,0.0,1.0,0.9192708333333334,3.45
bgr_uniform_radius,7,20.0,0.8333333333333334,0.53515625,0.85
bgr_uniform_radius,7,40.0,0.6666666666666666,0.3984375,0.6
bgr_uniform_radius,7,60.0,0.16666666666666666,0.2669270833333333,4.0
bgr_uniform_radius,7,80.0,0.8333333333333334,0.58984375,0.85
bgr_uniform_radius,8,0.0,1.0,0.9296875,3.2
bgr_uniform_radius,8,20.0,0.08333333333333333,0.17317708333333334,4.0
bgr_uniform_radius,8,40.0,0.25,0.3177083333333333,4.0
bgr_uniform_radius,8,60.0,0.16666666666666666,0.13411458333333334,4.0
bgr_uniform_radius,8,80.0,0.16666666666666666,0.078125,4.0
bgr_uniform_radius,9,0.0,1.0,0.890625,2.7
bgr_uniform_radius,9,20.0,0.08333333333333333,0.11979166666666667,4.0
bgr_uniform_radius,9,40.0,0.0,0.20182291666666666,4.0
bgr_uniform_radius,9,60.0,0.16666666666666666,0.16536458333333334,4.0
bgr_uniform_radius,9,80.0,0.8333333333333334,0.546875,0.85
bgr_uniform_radius,10,0.0,1.0,0.8828125,2.9000000000000004
bgr_uniform_radius,10,20.0,0.0,0.044270833333333336,4.0
bgr_uniform_radius,10,40.0,0.3333333333333333,0.3802083333333333,4.0
bgr_uniform_radius,10,60.0,0.75,0.65234375,1.2
bgr_uniform_radius,10,80.0,0.0,0.2513020833333333,4.0
bgr_uniform_radius,11,0.0,1.0,0.91796875,2.95
bgr_uniform_radius,11,20.0,0.0,0.11979166666666667,4.0
bgr_uniform_radius,11,40.0,0.0,0.1953125,4.0
bgr_uniform_radius,11,60.0,0.08333333333333333,0.24088541666666666,4.0
bgr_uniform_radius,11,80.0,0.4166666666666667,0.3606770833333333,4.0
bgr_coverage,0,0.0,1.0,0.8932291666666666,2.95
bgr_coverage,0,20.0,0.3333333333333333,0.140625,4.0
bgr_coverage,0,40.0,0.5833333333333334,0.26171875,0.725
bgr_coverage,0,60.0,0.4166666666666667,0.40625,4.0
bgr_coverage,0,80.0,0.08333333333333333,0.22916666666666666,4.0
bgr_coverage,1,0.0,1.0,0.8984375,2.7
bgr_coverage,1,20.0,0.25,0.2877604166666667,4.0
bgr_coverage,1,40.0,0.5833333333333334,0.2942708333333333,0.725
bgr_coverage,1,60.0,0.25,0.3229166666666667,4.0
bgr_coverage,1,80.0,0.3333333333333333,0.5208333333333334,4.0
bgr_coverage,2,0.0,1.0,0.9270833333333334,3.85
bgr_coverage,2,20.0,0.08333333333333333,0.17057291666666666,4.0
bgr_coverage,2,40.0,0.0,0.06510416666666667,4.0
bgr_coverage,2,60.0,0.0,0.171875,4.0
bgr_coverage,2,80.0,0.5,0.3151041666666667,2.6
bgr_coverage,3,0.0,1.0,0.9244791666666666,3.8
bgr_coverage,3,20.0,0.3333333333333333,0.2421875,4.0
bgr_coverage,3,40.0,0.0,0.109375,4.0
bgr_coverage,3,60.0,0.0,0.13411458333333334,4.0
bgr_coverage,3,80.0,0.5833333333333334,0.6171875,1.45
bgr_coverage,4,0.0,1.0,0.8815104166666666,2.7
bgr_coverage,4,20.0,0.16666666666666666,0.15755208333333334,4.0
bgr_coverage,4,40.0,0.16666666666666666,0.26171875,4.0
bgr_coverage,4,60.0,0.25,0.24739583333333334,4.0
bgr_coverage,4,80.0,0.0,0.2265625,4.0
bgr_coverage,5,0.0,1.0,0.9049479166666666,2.95
bgr_coverage,5,20.0,0.25,0.23958333333333334,4.0
bgr_coverage,5,40.0,0.0,0.11067708333333333,4.0
bgr_coverage,5,60.0,0.75,0.4231770833333333,0.45
bgr_coverage,5,80.0,0.0,0.17057291666666666,4.0
bgr_coverage,6,0.0,1.0,0.9114583333333334,2.7
bgr_coverage,6,20.0,0.16666666666666666,0.33203125,4.0
bgr_coverage,6,40.0,0.5,0.51953125,3.1
bgr_coverage,6,60.0,0.0,0.2864583333333333,4.0
bgr_coverage,6,80.0,0.4166666666666667,0.359375,4.0
bgr_coverage,7,0.0,1.0,0.9192708333333334,3.45
bgr_coverage,7,20.0,0.0,0.16536458333333334,4.0
bgr_coverage,7,40.0,0.0,0.08333333333333333,4.0
bgr_coverage,7,60.0,0.6666666666666666,0.5299479166666666,1.65
bgr_coverage,7,80.0,0.0,0.12890625,4.0
bgr_coverage,8,0.0,1.0,0.9296875,3.2
bgr_coverage,8,20.0,0.08333333333333333,0.16796875,4.0
bgr_coverage,8,40.0,0.8333333333333334,0.75,1.7
bgr_coverage,8,60.0,0.5833333333333334,0.5833333333333334,2.2
bgr_coverage,8,80.0,0.08333333333333333,0.15755208333333334,4.0
bgr_coverage,9,0.0,1.0,0.890625,2.7
bgr_coverage,9,20.0,0.0,0.045572916666666664,4.0
bgr_coverage,9,40.0,0.0,0.26953125,4.0
bgr_coverage,9,60.0,0.0,0.17317708333333334,4.0
bgr_coverage,9,80.0,0.0,0.234375,4.0
bgr_coverage,10,0.0,1.0,0.8828125,2.9000000000000004
bgr_coverage,10,20.0,0.0,0.14973958333333334,4.0
bgr_coverage,10,40.0,0.4166666666666667,0.2903645833333333,4.0
bgr_coverage,10,60.0,0.0,0.22526041666666666,4.0
bgr_coverage,10,80.0,0.0,0.12630208333333334,4.0
bgr_coverage,11,0.0,1.0,0.91796875,2.95
bgr_coverage,11,20.0,0.25,0.2786458333333333,4.0
bgr_coverage,11,40.0,0.0,0.08723958333333333,4.0
bgr_coverage,11,60.0,0.4166666666666667,0.3841145833333333,4.0
bgr_coverage,11,80.0,0.0,0.1796875,4.0
bgr,0,0.0,1.0,0.8932291666666666,2.95
bgr,0,20.0,0.5833333333333334,0.2604166666666667,0.9500000000000001
bgr,0,40.0,0.25,0.11197916666666667,4.0
bgr,0,60.0,0.08333333333333333,0.21354166666666666,4.0
bgr,0,80.0,0.16666666666666666,0.17317708333333334,4.0
bgr,1,0.0,1.0,0.8984375,2.7
bgr,1,20.0,0.3333333333333333,0.1796875,4.0
bgr,1,40.0,0.25,0.30078125,4.0
bgr,1,60.0,0.8333333333333334,0.5768229166666666,0.85
bgr,1,80.0,0.08333333333333333,0.22005208333333334,4.0
bgr,2,0.0,1.0,0.9270833333333334,3.85
bgr,2,20.0,0.0,0.23046875,4.0
bgr,2,40.0,0.3333333333333333,0.2747395833333333,4.0
bgr,2,60.0,0.0,0.08333333333333333,4.0
bgr,2,80.0,0.3333333333333333,0.2591145833333333,4.0
bgr,3,0.0,1.0,0.9244791666666666,3.8
bgr,3,20.0,0.4166666666666667,0.2877604166666667,4.0
bgr,3,40.0,0.5,0.19921875,2.275
bgr,3,60.0,0.08333333333333333,0.23958333333333334,4.0
bgr,3,80.0,0.75,0.78515625,3.45
bgr,4,0.0,1.0,0.8815104166666666,2.7
bgr,4,20.0,0.5,0.4401041666666667,2.85
bgr,4,40.0,0.3333333333333333,0.3411458333333333,4.0
bgr,4,60.0,0.6666666666666666,0.4505208333333333,0.725
bgr,4,80.0,0.3333333333333333,0.3880208333333333,4.0
bgr,5,0.0,1.0,0.9049479166666666,2.95
bgr,5,20.0,0.3333333333333333,0.27734375,4.0
bgr,5,40.0,0.0,0.09375,4.0
bgr,5,60.0,0.0,0.13411458333333334,4.0
bgr,5,80.0,0.0,0.11067708333333333,4.0
