method,target_margin,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
bgr,0.46,11,0.9367302371885109,0.4238422133675608,0.33833072361526395,0.3452077156687896,0.4238422133675608
bgr,0.46,12,0.9412300209320613,0.4252769110512111,0.3399753190551956,0.347050974134484,0.4252769110512111
bgr,0.46,13,0.9430277815345451,0.42489761017508637,0.334911759525597,0.34503161555878636,0.42489761017508637
bgr,0.46,14,0.9455666369860256,0.4272092623605255,0.3316366198637356,0.3468986615138865,0.4272092623605255
bgr,0.46,15,0.9403674255863551,0.4266060350799552,0.33997013289191735,0.3479649291189354,0.4266060350799552
bgr,0.46,16,0.942878572376607,0.42226804607195195,0.33284460128488635,0.34262732881276614,0.42226804607195195
bgr,0.46,17,0.9368676386633615,0.42749787659532107,0.33916874113504114,0.34762095711770025,0.42749787659532107
bgr,0.46,18,0.9387372204719611,0.42792545757462724,0.3374872004586752,0.34885835542603927,0.42792545757462724
bgr,0.46,19,0.9412749311621945,0.4254153093342755,0.3420491376020134,0.34481834150638596,0.4254153093342755
bgr,0.46,20,0.939602655299078,0.42485234394895866,0.3384844866787363,0.3456229942754375,0.42485234394895866
bgr,0.46,21,0.9350323862982408,0.42716458044236005,0.34181998053737006,0.3488942562541079,0.42716458044236005
bgr,0.46,22,0.9377534330176852,0.4266098092524632,0.33982015932984877,0.3469113358753353,0.4266098092524632
bgr,0.46,23,0.9384245816330286,0.4270158418210329,0.3411073110828753,0.34847334574946576,0.4270158418210329
bgr,0.46,24,0.9407762925136101,0.42731379072828557,0.34429387447741366,0.3490217023315167,0.42731379072828557
bgr,0.46,25,0.9423012229757141,0.42658252423785586,0.3327556856453051,0.3469984436546675,0.42658252423785586
bgr,0.46,26,0.9384652256282321,0.42718580032546327,0.3354838778469814,0.34730319905778656,0.42718580032546327
bgr,0.46,27,0.9412886305805759,0.4261567362613111,0.3415253462512769,0.34611649352339857,0.4261567362613111
bgr,0.46,28,0.9389299632479255,0.4262882198673648,0.341980254707982,0.3470796246421606,0.4262882198673648
bgr,0.46,29,0.9414789250957388,0.4236675416918912,0.33581307584758113,0.3438494780763,0.4236675416918912
bgr,0.54,0,0.9379486267646213,0.41602483998076567,0.3260350413454873,0.3392867698841863,0.41602483998076567
bgr,0.54,1,0.9354657834452939,0.4141224004713486,0.3332720851147042,0.3373474761384213,0.4141224004713486
bgr,0.54,2,0.9383542257892409,0.41827416268890244,0.3317203656925457,0.3405128421961938,0.41827416268890244
bgr,0.54,3,0.9313661989571419,0.4192919187161198,0.3321038755108001,0.3438516662546296,0.4192919187161198
bgr,0.54,4,0.9403869752347747,0.41787917843405575,0.32839470097741175,0.34071409982627787,0.41787917843405575
bgr,0.54,5,0.9322838603526687,0.409718416288745,0.3216714874473571,0.3349897015188876,0.409718416288745
bgr,0.54,6,0.9341419377852819,0.41750313644485654,0.33557586689262087,0.3408987861164301,0.41750313644485654
bgr,0.54,7,0.9360884588342808,0.4161106157721785,0.32930925390904986,0.33906874828435835,0.4161106157721785
bgr,0.54,8,0.9347132415568568,0.41778785711274524,0.33133050176255396,0.33981171608205973,0.41778785711274524
bgr,0.54,9,0.9332310391447618,0.4145177516894029,0.32782773965870576,0.338614237557326,0.4145177516894029
bgr,0.54,10,0.9306592815450383,0.4120655283025316,0.3307112969702246,0.3359412393582326,0.4120655283025316
bgr,0.54,11,0.9300542311982385,0.4124613834736571,0.33436761187975766,0.3374086788616918,0.4124613834736571
bgr,0.54,12,0.9351685586646922,0.41573998366171294,0.3281573323402439,0.33993232518280025,0.41573998366171294
bgr,0.54,13,0.9358277964321555,0.4098112483935172,0.3231994147117667,0.3351200069291908,0.4098112483935172
bgr,0.54,14,0.9389110728349356,0.4169095934926953,0.3293941408199026,0.3388470481652817,0.4169095934926953
bgr,0.54,15,0.9337733614829717,0.41502548004884743,0.3286000545590587,0.3406350065398142,0.41502548004884743
bgr,0.54,16,0.937980527686895,0.41475520741939204,0.32572048178095436,0.33619452647902565,0.41475520741939204
bgr,0.54,17,0.9307782560653572,0.4176233794255132,0.3341012180990023,0.34097599785842464,0.4176233794255132
bgr,0.54,18,0.9344598613093436,0.41769152479434113,0.32882146775039556,0.34166923096496293,0.41769152479434113
bgr,0.54,19,0.9340691913552762,0.4127829235573287,0.3331057502527316,0.33648812551434115,0.4127829235573287
bgr,0.54,20,0.9327094497862933,0.4152588635965002,0.33483859718984765,0.3391250733021359,0.4152588635965002
bgr,0.54,21,0.9307218724625337,0.41875499687471807,0.33423711071918044,0.34229706095465445,0.41875499687471807
bgr,0.54,22,0.9317283576156702,0.4170466421513719,0.3407838389267874,0.33994348457981627,0.4170466421513719
bgr,0.54,23,0.9326296509294216,0.4191658699770029,0.333412183908412,0.3422403397804904,0.4191658699770029
bgr,0.54,24,0.9350856621110214,0.41871341720738414,0.3271657315980613,0.3431187813418213,0.41871341720738414
bgr,0.54,25,0.9373166843509899,0.417137218206163,0.32532346273188867,0.33946082425109164,0.417137218206163
bgr,0.54,26,0.9320978669017026,0.41352807205693,0.33022141868795485,0.3385301313466632,0.41352807205693
bgr,0.54,27,0.9352517353919962,0.41346927374581394,0.326561693227336,0.33875977367545357,0.41346927374581394
bgr,0.54,28,0.9351991223528004,0.4194202929229023,0.3341684509580771,0.3416940098635746,0.4194202929229023
bgr,0.54,29,0.9346915200518077,0.41181593137152106,0.3252579159480461,0.3359603192159843,0.41181593137152106
