config_id,mode,target_radius,fixed_radius,lr,init_noise,iterations,eval_every,batch,method,seed,final_rauc,final_clean,final_median_r80,rauc_aulc
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_uniform_radius,2,0.5257142857142857,0.39375,5.0,0.46727678571428566
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_uniform_radius,3,0.5190178571428571,0.4044642857142857,5.0,0.48602678571428576
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_uniform_radius,4,0.5055357142857142,0.38839285714285715,5.0,0.4585491071428572
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_uniform_radius,5,0.505625,0.4142857142857143,5.0,0.4648214285714286
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_uniform_radius,6,0.503482142857143,0.3821428571428571,5.0,0.45238839285714294
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_uniform_radius,7,0.5004464285714286,0.3678571428571429,5.0,0.4595758928571428
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_coverage,0,0.5099107142857142,0.38125,5.0,0.4688392857142856
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_coverage,1,0.49098214285714276,0.3678571428571429,5.0,0.4249107142857142
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_coverage,2,0.5098214285714285,0.39017857142857143,5.0,0.4637946428571428
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_coverage,3,0.5178571428571429,0.39017857142857143,5.0,0.4728794642857143
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_coverage,4,0.5002678571428572,0.3651785714285714,5.0,0.4600892857142857
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_coverage,5,0.49383928571428576,0.3419642857142857,5.0,0.4466517857142857
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_coverage,6,0.49125,0.38660714285714287,5.0,0.44249999999999995
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_coverage,7,0.4916964285714286,0.35714285714285715,5.0,0.44765625
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr,0,0.4823214285714286,0.36964285714285716,5.0,0.4456919642857143
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr,1,0.4877678571428571,0.3508928571428571,5.0,0.4244642857142857
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr,2,0.4942857142857142,0.37410714285714286,5.0,0.4490624999999999
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr,3,0.5223214285714286,0.37857142857142856,5.0,0.4804241071428571
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr,4,0.48080357142857144,0.38392857142857145,5.0,0.4502678571428572
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr,5,0.47625,0.35625,5.0,0.4522098214285715
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr,6,0.4975892857142857,0.3732142857142857,5.0,0.4502008928571428
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr,7,0.48821428571428566,0.38125,5.0,0.4476785714285714
2,up,3.0,3.0,0.08,0.01,140,70,10,uniform,0,0.5074107142857143,0.38035714285714284,5.0,0.4663392857142858
2,up,3.0,3.0,0.08,0.01,140,70,10,uniform,1,0.48892857142857143,0.39553571428571427,5.0,0.4271205357142857
2,up,3.0,3.0,0.08,0.01,140,70,10,uniform,2,0.5322321428571428,0.40982142857142856,5.0,0.47595982142857135
2,up,3.0,3.0,0.08,0.01,140,70,10,uniform,3,0.5183035714285714,0.4142857142857143,5.0,0.47625000000000006
2,up,3.0,3.0,0.08,0.01,140,70,10,uniform,4,0.5182142857142857,0.3964285714285714,5.0,0.47716517857142854
2,up,3.0,3.0,0.08,0.01,140,70,10,uniform,5,0.48392857142857143,0.3794642857142857,5.0,0.46185267857142864
2,up,3.0,3.0,0.08,0.01,140,70,10,uniform,6,0.5139285714285714,0.39375,5.0,0.45196428571428565
2,up,3.0,3.0,0.08,0.01,140,70,10,uniform,7,0.49357142857142855,0.40089285714285716,5.0,0.4496428571428572
2,up,3.0,3.0,0.08,0.01,140,70,10,fixed,0,0.4833035714285714,0.3651785714285714,5.0,0.44723214285714286
2,up,3.0,3.0,0.08,0.01,140,70,10,fixed,1,0.4994642857142858,0.38571428571428573,5.0,0.4325223214285714
2,up,3.0,3.0,0.08,0.01,140,70,10,fixed,2,0.5096428571428571,0.38392857142857145,5.0,0.46165178571428567
2,up,3.0,3.0,0.08,0.01,140,70,10,fixed,3,0.5091071428571429,0.36607142857142855,5.0,0.4737276785714285
2,up,3.0,3.0,0.08,0.01,140,70,10,fixed,4,0.5191964285714286,0.3982142857142857,5.0,0.4719642857142857
2,up,3.0,3.0,0.08,0.01,140,70,10,fixed,5,0.4816964285714286,0.3651785714285714,5.0,0.44406249999999997
2,up,3.0,3.0,0.08,0.01,140,70,10,fixed,6,0.510892857142857,0.38571428571428573,5.0,0.45977678571428565
2,up,3.0,3.0,0.08,0.01,140,70,10,fixed,7,0.5007142857142857,0.3875,5.0,0.4613839285714287
2,up,3.0,3.0,0.08,0.01,140,70,10,failure_only,0,0.5117857142857143,0.3982142857142857,5.0,0.46247767857142846
2,up,3.0,3.0,0.08,0.01,140,70,10,failure_only,1,0.5044642857142857,0.3991071428571429,5.0,0.43078125
2,up,3.0,3.0,0.08,0.01,140,70,10,failure_only,2,0.5274107142857142,0.4107142857142857,5.0,0.48145089285714276
2,up,3.0,3.0,0.08,0.01,140,70,10,failure_only,3,0.5196428571428572,0.39285714285714285,5.0,0.4880133928571428
2,up,3.0,3.0,0.08,0.01,140,70,10,failure_only,4,0.5192857142857144,0.4142857142857143,5.0,0.47921875
2,up,3.0,3.0,0.08,0.01,140,70,10,failure_only,5,0.5107142857142857,0.3794642857142857,5.0,0.4750223214285714
2,up,3.0,3.0,0.08,0.01,140,70,10,failure_only,6,0.5271428571428572,0.4142857142857143,5.0,0.46665178571428567
2,up,3.0,3.0,0.08,0.01,140,70,10,failure_only,7,0.5301785714285715,0.43839285714285714,5.0,0.47651785714285716
2,up,3.0,3.0,0.08,0.01,140,70,10,td_loss,0,0.41526785714285713,0.3455357142857143,5.0,0.39602678571428573
2,up,3.0,3.0,0.08,0.01,140,70,10,td_loss,1,0.44651785714285713,0.3419642857142857,5.0,0.3941071428571428
2,up,3.0,3.0,0.08,0.01,140,70,10,td_loss,2,0.4041964285714286,0.31339285714285714,5.0,0.3965848214285714
2,up,3.0,3.0,0.08,0.01,140,70,10,td_loss,3,0.46812499999999996,0.3464285714285714,5.0,0.4390625
2,up,3.0,3.0,0.08,0.01,140,70,10,td_loss,4,0.4417857142857142,0.3339285714285714,5.0,0.4222544642857142
2,up,3.0,3.0,0.08,0.01,140,70,10,td_loss,5,0.4364285714285714,0.3080357142857143,5.0,0.42627232142857147
2,up,3.0,3.0,0.08,0.01,140,70,10,td_loss,6,0.4425892857142857,0.36339285714285713,5.0,0.39265625
2,up,3.0,3.0,0.08,0.01,140,70,10,td_loss,7,0.39714285714285713,0.2830357142857143,5.0,0.38638392857142856
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_uniform_radius,0,0.47687499999999994,0.3776785714285714,5.0,0.4476785714285714
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_uniform_radius,1,0.4903571428571429,0.39732142857142855,5.0,0.4296205357142857
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_uniform_radius,2,0.5227678571428571,0.39553571428571427,5.0,0.47725446428571416
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_uniform_radius,3,0.5289285714285713,0.39732142857142855,5.0,0.48537946428571427
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_uniform_radius,4,0.5046428571428571,0.4107142857142857,5.0,0.4641741071428571
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_uniform_radius,5,0.4952678571428571,0.3821428571428571,5.0,0.4669196428571429
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_uniform_radius,6,0.4906250000000001,0.3723214285714286,5.0,0.4457366071428572
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_uniform_radius,7,0.48741071428571436,0.37589285714285714,5.0,0.45029017857142856
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_coverage,0,0.49276785714285715,0.3767857142857143,5.0,0.45598214285714284
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_coverage,1,0.4915178571428571,0.3892857142857143,5.0,0.4279017857142857
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_coverage,2,0.5179464285714285,0.39017857142857143,5.0,0.46212053571428563
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_coverage,3,0.5145535714285714,0.3991071428571429,5.0,0.47718749999999993
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_coverage,4,0.5146428571428571,0.39732142857142855,5.0,0.4683705357142858
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_coverage,5,0.4947321428571428,0.3821428571428571,5.0,0.46084821428571426
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_coverage,6,0.5001785714285715,0.39464285714285713,5.0,0.4429017857142858
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_coverage,7,0.5023214285714285,0.3821428571428571,5.0,0.45129464285714277
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr,0,0.4928571428571429,0.38839285714285715,5.0,0.44926339285714284
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr,1,0.4774107142857143,0.37589285714285714,5.0,0.41843749999999996
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr,2,0.4932142857142857,0.36607142857142855,5.0,0.4509821428571429
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr,3,0.5200892857142857,0.3848214285714286,5.0,0.47566964285714275
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr,4,0.48339285714285724,0.37589285714285714,5.0,0.4504241071428572
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr,5,0.4773214285714285,0.3482142857142857,5.0,0.44381696428571427
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr,6,0.48553571428571424,0.37410714285714286,5.0,0.4400892857142857
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr,7,0.4801785714285714,0.35982142857142857,5.0,0.4458482142857143
3,down,1.0,1.0,0.08,0.01,140,70,10,uniform,0,0.3988392857142857,0.4,5.0,0.3408258928571429
3,down,1.0,1.0,0.08,0.01,140,70,10,uniform,1,0.3674107142857143,0.38839285714285715,5.0,0.3430580357142857
3,down,1.0,1.0,0.08,0.01,140,70,10,uniform,2,0.38660714285714287,0.4107142857142857,5.0,0.35607142857142854
3,down,1.0,1.0,0.08,0.01,140,70,10,uniform,3,0.36982142857142863,0.3830357142857143,5.0,0.34484375
3,down,1.0,1.0,0.08,0.01,140,70,10,uniform,4,0.38053571428571425,0.39375,5.0,0.35011160714285716
3,down,1.0,1.0,0.08,0.01,140,70,10,uniform,5,0.3809821428571429,0.37589285714285714,5.0,0.3587723214285714
3,down,1.0,1.0,0.08,0.01,140,70,10,uniform,6,0.37464285714285717,0.39464285714285713,5.0,0.32857142857142857
3,down,1.0,1.0,0.08,0.01,140,70,10,uniform,7,0.3734821428571428,0.3821428571428571,5.0,0.3394419642857143
3,down,1.0,1.0,0.08,0.01,140,70,10,fixed,0,0.38919642857142855,0.4080357142857143,5.0,0.35948660714285713
3,down,1.0,1.0,0.08,0.01,140,70,10,fixed,1,0.3710714285714286,0.3767857142857143,5.0,0.33892857142857147
3,down,1.0,1.0,0.08,0.01,140,70,10,fixed,2,0.37017857142857136,0.4125,5.0,0.35312499999999997
3,down,1.0,1.0,0.08,0.01,140,70,10,fixed,3,0.38500000000000006,0.4205357142857143,5.0,0.35627232142857146
3,down,1.0,1.0,0.08,0.01,140,70,10,fixed,4,0.36678571428571427,0.38839285714285715,5.0,0.32631696428571433
3,down,1.0,1.0,0.08,0.01,140,70,10,fixed,5,0.3938392857142857,0.3776785714285714,5.0,0.36238839285714286
3,down,1.0,1.0,0.08,0.01,140,70,10,fixed,6,0.3872321428571429,0.4035714285714286,5.0,0.35136160714285714
3,down,1.0,1.0,0.08,0.01,140,70,10,fixed,7,0.3821428571428571,0.4205357142857143,5.0,0.3505357142857143
3,down,1.0,1.0,0.08,0.01,140,70,10,failure_only,0,0.38160714285714287,0.4089285714285714,5.0,0.3609375
3,down,1.0,1.0,0.08,0.01,140,70,10,failure_only,1,0.394375,0.3991071428571429,5.0,0.35296875000000005
3,down,1.0,1.0,0.08,0.01,140,70,10,failure_only,2,0.3875,0.40089285714285716,5.0,0.36517857142857135
3,down,1.0,1.0,0.08,0.01,140,70,10,failure_only,3,0.39553571428571427,0.4133928571428571,5.0,0.36546875
3,down,1.0,1.0,0.08,0.01,140,70,10,failure_only,4,0.3758035714285714,0.3964285714285714,5.0,0.3536607142857143
3,down,1.0,1.0,0.08,0.01,140,70,10,failure_only,5,0.3960714285714286,0.4,5.0,0.3654464285714286
3,down,1.0,1.0,0.08,0.01,140,70,10,failure_only,6,0.3946428571428572,0.4089285714285714,5.0,0.35066964285714286
3,down,1.0,1.0,0.08,0.01,140,70,10,failure_only,7,0.39312499999999995,0.41696428571428573,5.0,0.3596651785714285
3,down,1.0,1.0,0.08,0.01,140,70,10,td_loss,0,0.3319642857142857,0.33303571428571427,5.0,0.3209375
3,down,1.0,1.0,0.08,0.01,140,70,10,td_loss,1,0.33785714285714286,0.34910714285714284,5.0,0.32437499999999997
3,down,1.0,1.0,0.08,0.01,140,70,10,td_loss,2,0.3286607142857143,0.36875,5.0,0.31935267857142857
3,down,1.0,1.0,0.08,0.01,140,70,10,td_loss,3,0.34874999999999995,0.3830357142857143,5.0,0.3250223214285714
3,down,1.0,1.0,0.08,0.01,140,70,10,td_loss,4,0.37303571428571425,0.40267857142857144,5.0,0.3379241071428571
3,down,1.0,1.0,0.08,0.01,140,70,10,td_loss,5,0.34017857142857144,0.3625,5.0,0.3135714285714286
3,down,1.0,1.0,0.08,0.01,140,70,10,td_loss,6,0.32803571428571426,0.38035714285714284,5.0,0.30848214285714287
3,down,1.0,1.0,0.08,0.01,140,70,10,td_loss,7,0.31455357142857143,0.3455357142857143,5.0,0.3049776785714286
3,down,1.0,1.0,0.08,0.01,140,70,10,bgr_uniform_radius,0,0.3680357142857143,0.37589285714285714,5.0,0.3414285714285714
3,down,1.0,1.0,0.08,0.01,140,70,10,bgr_uniform_radius,1,0.3796428571428571,0.39464285714285713,5.0,0.3325
3,down,1.0,1.0,0.08,0.01,140,70,10,bgr_uniform_radius,2,0.39071428571428574,0.39732142857142855,5.0,0.34232142857142855
3,down,1.0,1.0,0.08,0.01,140,70,10,bgr_uniform_radius,3,0.38071428571428567,0.40535714285714286,5.0,0.33944196428571427
3,down,1.0,1.0,0.08,0.01,140,70,10,bgr_uniform_radius,4,0.3673214285714286,0.39464285714285713,5.0,0.3510044642857143
3,down,1.0,1.0,0.08,0.01,140,70,10,bgr_uniform_radius,5,0.37410714285714286,0.3776785714285714,5.0,0.3491517857142857
3,down,1.0,1.0,0.08,0.01,140,70,10,bgr_uniform_radius,6,0.388125,0.4125,5.0,0.3403348214285714
3,down,1.0,1.0,0.08,0.01,140,70,10,bgr_uniform_radius,7,0.40508928571428576,0.41964285714285715,5.0,0.3622544642857143
3,down,1.0,1.0,0.08,0.01,140,70,10,bgr_coverage,0,0.3740178571428571,0.39017857142857143,5.0,0.34234374999999995
3,down,1.0,1.0,0.08,0.01,140,70,10,bgr_coverage,1,0.3759821428571429,0.38839285714285715,5.0,0.3333258928571428
3,down,1.0,1.0,0.08,0.01,140,70,10,bgr_coverage,2,0.39732142857142855,0.42678571428571427,5.0,0.35214285714285715
3,down,1.0,1.0,0.08,0.01,140,70,10,bgr_coverage,3,0.3503571428571428,0.3794642857142857,5.0,0.34042410714285715
