stress_case,method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
diffuse_boundary,bgr,7,0.9275157913140128,0.4566224070465471,0.32855363221466066,0.37148917604016246,0.4566224070465471
diffuse_boundary,bgr,8,0.9267436141837601,0.4562026761474804,0.32619744942197343,0.3724407626576672,0.4562026761474804
diffuse_boundary,bgr,9,0.92925426081358,0.45412440471063353,0.32208362212481356,0.37093686856228575,0.45412440471063353
diffuse_boundary,bgr,10,0.9259710941148603,0.45406900652230975,0.32540825949922564,0.37005629572229226,0.45406900652230975
diffuse_boundary,bgr,11,0.9266136303041299,0.4563116344338983,0.32689999519323043,0.3720425528749893,0.4563116344338983
diffuse_boundary,bgr,12,0.9275413793506826,0.45646736737088217,0.32464130754569454,0.3734131005866234,0.45646736737088217
diffuse_boundary,bgr,13,0.9282428726513252,0.45425996372066685,0.32285414266686563,0.3712808162161023,0.45425996372066685
diffuse_boundary,bgr,14,0.9296258299277156,0.45745165549600786,0.32250764323587733,0.37276594335369284,0.45745165549600786
low_feasibility,uniform,0,0.8923554507081247,0.322970172429151,0.25947832183538133,0.2705261849510499,0.322970172429151
low_feasibility,uniform,1,0.8885258410842801,0.325581305363694,0.26098913026643566,0.2706209359692877,0.325581305363694
low_feasibility,uniform,2,0.8903653084058404,0.32318743460694505,0.26200439926848795,0.2705305666793547,0.32318743460694505
low_feasibility,uniform,3,0.8869429535635912,0.3258364424632216,0.2666693703066189,0.27376081013440223,0.3258364424632216
low_feasibility,uniform,4,0.895291815736614,0.32930657984256084,0.2707537080755934,0.2760417223686833,0.32930657984256084
low_feasibility,uniform,5,0.8846410723442312,0.3244046250751451,0.2608254705062738,0.2720285684365974,0.3244046250751451
low_feasibility,uniform,6,0.8894064055554632,0.32537782584852765,0.2630477320634128,0.2727564486883142,0.32537782584852765
low_feasibility,uniform,7,0.8866801817145263,0.3205570511501397,0.2576094580716387,0.26783008326765856,0.3205570511501397
low_feasibility,uniform,8,0.8876721159002642,0.3241118020694206,0.2590260956632773,0.2696896801370576,0.3241118020694206
low_feasibility,uniform,9,0.8879194604172015,0.32197760094239386,0.2607708536633724,0.26964745090201775,0.32197760094239386
low_feasibility,uniform,10,0.8849854617386419,0.3212881025152435,0.2576305333079839,0.2684823010713097,0.3212881025152435
low_feasibility,uniform,11,0.8855136866781188,0.32285049724157305,0.2653646027627341,0.2711690019092803,0.32285049724157305
low_feasibility,uniform,12,0.885308081434502,0.32383656522876986,0.2627153468185961,0.27127631257153934,0.32383656522876986
low_feasibility,uniform,13,0.8851138538209593,0.31988856027912904,0.2531736740373911,0.2683229244937263,0.31988856027912904
low_feasibility,uniform,14,0.8878570800495054,0.321335719083425,0.2569076216600823,0.2674693654890641,0.321335719083425
low_feasibility,bgr,0,0.948659139477677,0.36145778127950146,0.2835422465491365,0.30527119258993013,0.36145778127950146
low_feasibility,bgr,1,0.9455476524250329,0.36127307818573057,0.2764479738522688,0.3035986819873531,0.36127307818573057
low_feasibility,bgr,2,0.9480336228588985,0.36272747735279437,0.27947172190938846,0.30544410434329333,0.36272747735279437
low_feasibility,bgr,3,0.9412939677299309,0.36374308067104655,0.29232408914289226,0.3081026948441586,0.36374308067104655
low_feasibility,bgr,4,0.9498952642774524,0.36562705061505085,0.28920926272299974,0.3086903976885988,0.36562705061505085
low_feasibility,bgr,5,0.944147573637832,0.36217867706124146,0.28644548174654094,0.30509377016371175,0.36217867706124146
low_feasibility,bgr,6,0.9446775858140015,0.36502668414034306,0.2895225584009894,0.3072330662529637,0.36502668414034306
low_feasibility,bgr,7,0.946215858548128,0.3603346862651006,0.2859485586886573,0.30342464993234547,0.3603346862651006
low_feasibility,bgr,8,0.9452945019777578,0.36475729324666334,0.2858737321476009,0.3062613901132841,0.36475729324666334
low_feasibility,bgr,9,0.9450918998210243,0.35825084543769525,0.28166738045294415,0.30211268830843274,0.35825084543769525
low_feasibility,bgr,10,0.9411710362618112,0.35830166163183413,0.2782411594172076,0.3018850172980935,0.35830166163183413
low_feasibility,bgr,11,0.9420027528205054,0.360378978809175,0.2902756032782121,0.303346319454108,0.360378978809175
low_feasibility,bgr,12,0.9443059361520916,0.36328145254121263,0.28805591588067697,0.30585557048110923,0.36328145254121263
low_feasibility,bgr,13,0.9474858631727129,0.35912134205664265,0.28184341902968835,0.302105413327428,0.35912134205664265
low_feasibility,bgr,14,0.9497158929780998,0.36242170049741057,0.28260388357336474,0.3044956842266755,0.36242170049741057
