stress_case,method,seed,final_clean,final_rauc,final_median_r80,final_transfer_rauc,rauc_aulc,best_rauc
tight_feasible,uniform,7,0.8345577309414897,0.3800632946466222,0.37901989077692266,0.2271162680099986,0.3211628105847174,0.3800632946466222
tight_feasible,uniform,8,0.8339739231437312,0.3896797317394556,0.3974902336317231,0.23327272557942896,0.32462596528500876,0.3896797317394556
tight_feasible,uniform,9,0.8327515572116805,0.3825228042087168,0.3831785748534491,0.2278521587924648,0.32273312849308755,0.3825228042087168
tight_feasible,uniform,10,0.8325995412683892,0.3852288183465603,0.3864539036222723,0.2274862637029784,0.32379223199414475,0.3852288183465603
tight_feasible,uniform,11,0.8245095180042427,0.3805322540895046,0.38380431186757613,0.22722108592937804,0.3186635558132681,0.3805322540895046
tight_feasible,uniform,12,0.8329547131394022,0.39053032015822153,0.38104569694228363,0.23545917062974187,0.32737637194023966,0.39053032015822153
tight_feasible,uniform,13,0.8308203118099063,0.38704165769605464,0.396766710135388,0.22900947924297574,0.32453421563199814,0.38704165769605464
tight_feasible,uniform,14,0.8300379354847159,0.38254926405026857,0.3900504938762064,0.22804328773522392,0.32204663482526963,0.38254926405026857
tight_feasible,bgr_broad,0,0.8615344156074194,0.3953876148372716,0.3881979255382103,0.2332863204147899,0.33294476394675454,0.3953876148372716
tight_feasible,bgr_broad,1,0.862637287016761,0.4009067933275266,0.383721282419172,0.23630320977485714,0.3371425765365938,0.4009067933275266
tight_feasible,bgr_broad,2,0.8649393334954932,0.3980944378973401,0.37717219259054924,0.2360935188588128,0.3359955918955574,0.3980944378973401
tight_feasible,bgr_broad,3,0.8541371755993789,0.396408005052553,0.38396521906112346,0.2370909026467044,0.33090964599441985,0.396408005052553
tight_feasible,bgr_broad,4,0.8669975963281579,0.4048227322921916,0.38661245328787786,0.24129412087394428,0.34174229280055995,0.4048227322921916
tight_feasible,bgr_broad,5,0.8622781753582216,0.40154589987643496,0.39102052414410626,0.2417581361562017,0.3353363897877137,0.40154589987643496
tight_feasible,bgr_broad,6,0.8585108378056361,0.39377291284018257,0.37120397138319877,0.2372894411023476,0.3319988804730292,0.39377291284018257
tight_feasible,bgr_broad,7,0.8646929746831051,0.39307918433175787,0.37751024950790824,0.23391892023383284,0.33336120519098844,0.39307918433175787
tight_feasible,bgr_broad,8,0.8632494700359068,0.40191635169394196,0.39667886736730523,0.23938431863200932,0.3345995929875703,0.40191635169394196
tight_feasible,bgr_broad,9,0.8619469410000316,0.3955985736053122,0.382105444118301,0.23433542243822508,0.3338125424683901,0.3955985736053122
tight_feasible,bgr_broad,10,0.864721506435353,0.39983943032568753,0.3847865066567753,0.2355952225783433,0.33486263018894324,0.39983943032568753
tight_feasible,bgr_broad,11,0.854334723076698,0.3931573070315167,0.38189240670849706,0.23381267661522437,0.33070449744347086,0.3931573070315167
tight_feasible,bgr_broad,12,0.8613030751394116,0.40157054913592416,0.3807128600470655,0.2410912673661164,0.3368830706398775,0.40157054913592416
