learning_rate,method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
0.06,uniform,12,0.8967286096884398,0.49022968872559314,0.4405636930198461,0.3787566979273979,0.49022968872559314
0.06,uniform,13,0.8969742950587452,0.4876203181266056,0.43510789130092725,0.37565093632181773,0.4876203181266056
0.06,uniform,14,0.8992828505034923,0.48719230705673355,0.4339867743991024,0.37406844400206374,0.48719230705673355
0.06,uniform,15,0.8998300805417115,0.48863279638668444,0.43832002025607986,0.3799493562745525,0.48863279638668444
0.06,uniform,16,0.8999442513396825,0.48981002106177274,0.43791758506480444,0.3769719381527283,0.48981002106177274
0.06,uniform,17,0.8952406916143054,0.4879419143837757,0.43669215572829445,0.3762315242848199,0.4879419143837757
0.06,uniform,18,0.8986116174275657,0.49234872564489157,0.4383533759562911,0.38098226484174547,0.49234872564489157
0.06,uniform,19,0.8984198495006148,0.4907917343095876,0.4380653940957718,0.37661598110521355,0.4907917343095876
0.06,uniform,20,0.899175747160363,0.489110485092759,0.44087257243099665,0.37630684931506236,0.489110485092759
0.06,uniform,21,0.8969866516131911,0.49229215496508033,0.4474853944120292,0.38246526728919905,0.49229215496508033
0.06,uniform,22,0.8969003611416396,0.48929952653759845,0.43772139001507165,0.37578127337490913,0.48929952653759845
0.06,uniform,23,0.8995360728538007,0.49162477748651745,0.4381804553404275,0.37887647450530926,0.49162477748651745
0.06,uniform,24,0.901165329127842,0.4954935838845742,0.4446341975515089,0.38326979676154216,0.4954935838845742
0.06,uniform,25,0.9012005444481817,0.49251541725791476,0.43652560148017755,0.3795285366274601,0.49251541725791476
0.06,uniform,26,0.894331134435481,0.4893436317696955,0.44214391869181496,0.38075163010336516,0.4893436317696955
0.06,uniform,27,0.9000628698674977,0.48995549756704543,0.445105381751958,0.3784932886863124,0.48995549756704543
0.06,uniform,28,0.8995652652161928,0.49208746780452817,0.43889655738664146,0.37933452611824015,0.49208746780452817
0.06,uniform,29,0.8973404883837531,0.49098547347649046,0.44516818014663045,0.37775495010496,0.49098547347649046
0.06,bgr,0,0.9478927867330142,0.4845904621991786,0.40330429093716375,0.39519696450598957,0.4845904621991786
0.06,bgr,1,0.9435672502007877,0.4866663809616777,0.40668182172275635,0.39663182823070303,0.4866663809616777
0.06,bgr,2,0.9477416778567567,0.4860720303750431,0.4063307723508208,0.39659933085510213,0.4860720303750431
0.06,bgr,3,0.940483588609381,0.4892850515088,0.41443359930851065,0.4004766448002675,0.4892850515088
0.06,bgr,4,0.9493602873411346,0.4873471627781323,0.41125774700217765,0.39909855680335143,0.4873471627781323
0.06,bgr,5,0.9420848640280318,0.4845956048097705,0.4073390438584269,0.39463774213970937,0.4845956048097705
0.06,bgr,6,0.9441105897878509,0.49116845245550533,0.4097789010139999,0.4013152903948692,0.49116845245550533
0.06,bgr,7,0.9463351096136787,0.4859527673825951,0.40246574147657155,0.39503163998347063,0.4859527673825951
0.06,bgr,8,0.9435695406542629,0.4842420081832679,0.4065883817869187,0.3961422808634013,0.4842420081832679
0.06,bgr,9,0.9437470071046442,0.48625457242636433,0.4079731137103674,0.3960238930806159,0.48625457242636433
0.06,bgr,10,0.9401803570836944,0.48204178836235684,0.40902280372736877,0.39201699486324565,0.48204178836235684
0.06,bgr,11,0.9399117957504969,0.4842210839035652,0.4103289030335885,0.39521960794017674,0.4842210839035652
0.06,bgr,12,0.9410299383322395,0.48513831085432124,0.4094012398701713,0.3965623866445444,0.48513831085432124
0.06,bgr,13,0.9448954478179644,0.4832382582992325,0.4057918916117121,0.39375679352521464,0.4832382582992325
0.06,bgr,14,0.9480899598681235,0.4833681789338833,0.40330087586460067,0.3942199225955006,0.4833681789338833
0.06,bgr,15,0.9443822173554394,0.4847780225616904,0.40582699627268204,0.3973451164188487,0.4847780225616904
0.06,bgr,16,0.9457103471026562,0.4826519168184781,0.40434884587259656,0.393059731279835,0.4826519168184781
0.06,bgr,17,0.9402451381819029,0.4868116466127361,0.410070739891224,0.39660500557008305,0.4868116466127361
0.06,bgr,18,0.9417601048383356,0.488424928828764,0.40781463972892595,0.39895942190917366,0.488424928828764
